ID_Ticket,Fecha,ID_Cliente,ID_Vendedor,ID_Producto,Cantidad,Total_Venta,Metodo_Pago,Hora
TKT-5259,2025-01-06,C017,V001,P012,2,16000,Efectivo,14
TKT-7221,2025-01-06,C010,V005,P010,5,140000,Tarjeta Débito,6
TKT-6823,2025-01-06,C007,V006,P007,2,27000,Tarjeta Débito,15
TKT-6157,2025-01-06,C029,V003,P012,2,16000,Transferencia,8
TKT-6879,2025-01-07,C030,V001,P012,3,24000,Tarjeta Crédito,6
TKT-6601,2025-01-07,C019,V006,P002,2,116000,Tarjeta Débito,19
TKT-7403,2025-01-07,C024,V001,P009,1,15000,Transferencia,20
TKT-7134,2025-01-07,C028,V004,P004,2,37000,Efectivo,17
TKT-5048,2025-01-07,C020,V002,P002,2,116000,Transferencia,10
TKT-5955,2025-01-07,C022,V001,P011,5,60000,Tarjeta Débito,7
TKT-6449,2025-01-07,C027,V004,P002,2,116000,Efectivo,16
TKT-7169,2025-01-07,C024,V006,P004,1,18500,Efectivo,12
TKT-5014,2025-01-07,C025,V005,P004,1,18500,Tarjeta Crédito,8
TKT-7644,2025-01-07,C011,V001,P004,1,18500,Transferencia,12
TKT-7028,2025-01-07,C003,V004,P002,2,116000,Tarjeta Débito,5
TKT-6870,2025-01-08,C007,V002,P010,5,140000,Transferencia,19
TKT-6096,2025-01-08,C021,V003,P002,1,58000,Efectivo,9
TKT-6509,2025-01-08,C013,V002,P009,2,30000,Efectivo,16
TKT-6965,2025-01-08,C029,V006,P008,2,12000,Transferencia,10
TKT-5045,2025-01-09,C026,V004,P005,2,30000,Efectivo,13
TKT-6878,2025-01-09,C006,V005,P004,1,18500,Transferencia,13
TKT-6900,2025-01-09,C026,V005,P011,3,36000,Transferencia,8
TKT-5759,2025-01-09,C011,V001,P007,2,27000,Tarjeta Crédito,20
TKT-5239,2025-01-09,C011,V002,P012,2,16000,Transferencia,17
TKT-6356,2025-01-09,C028,V004,P002,2,116000,Tarjeta Crédito,19
TKT-5590,2025-01-09,C022,V004,P001,2,130000,Tarjeta Crédito,18
TKT-5889,2025-01-09,C013,V005,P006,1,16500,Tarjeta Crédito,14
TKT-7290,2025-01-09,C004,V002,P006,1,16500,Transferencia,19
TKT-5995,2025-01-10,C023,V001,P002,2,116000,Tarjeta Crédito,7
TKT-7380,2025-01-10,C026,V006,P001,1,65000,Transferencia,8
TKT-5104,2025-01-10,C029,V001,P011,5,60000,Transferencia,6
TKT-5315,2025-01-10,C025,V004,P011,4,48000,Efectivo,10
TKT-7489,2025-01-11,C025,V004,P012,2,16000,Efectivo,11
TKT-6630,2025-01-11,C006,V001,P006,2,33000,Transferencia,9
TKT-7092,2025-01-11,C018,V001,P005,2,30000,Transferencia,18
TKT-5056,2025-01-11,C023,V001,P003,2,196000,Efectivo,10
TKT-5399,2025-01-11,C016,V002,P006,1,16500,Efectivo,10
TKT-6583,2025-01-11,C005,V003,P004,2,37000,Efectivo,13
TKT-7832,2025-01-11,C019,V006,P003,1,98000,Tarjeta Débito,8
TKT-7387,2025-01-12,C011,V003,P003,1,98000,Tarjeta Crédito,17
TKT-6735,2025-01-12,C001,V003,P009,3,45000,Transferencia,7
TKT-5139,2025-01-12,C009,V005,P010,5,140000,Transferencia,21
TKT-6893,2025-01-12,C019,V004,P008,2,12000,Efectivo,17
TKT-7760,2025-01-12,C017,V003,P004,2,37000,Transferencia,8
TKT-6952,2025-01-12,C008,V005,P011,5,60000,Efectivo,0
TKT-7137,2025-01-12,C014,V002,P010,3,84000,Tarjeta Débito,17
TKT-6934,2025-01-12,C009,V003,P011,3,36000,Tarjeta Débito,16
TKT-7408,2025-01-12,C010,V002,P002,2,116000,Transferencia,16
TKT-7652,2025-01-12,C001,V001,P006,1,16500,Tarjeta Débito,17
TKT-6214,2025-01-12,C001,V002,P004,2,37000,Efectivo,7
TKT-7052,2025-01-13,C004,V005,P007,2,27000,Transferencia,10
TKT-6983,2025-01-13,C002,V006,P003,2,196000,Tarjeta Débito,7
TKT-6120,2025-01-13,C011,V003,P006,1,16500,Transferencia,18
TKT-5702,2025-01-13,C024,V001,P007,1,13500,Transferencia,15
TKT-6203,2025-01-13,C020,V004,P006,1,16500,Tarjeta Crédito,10
TKT-7320,2025-01-13,C001,V003,P004,1,18500,Efectivo,6
TKT-7680,2025-01-13,C022,V002,P007,2,27000,Tarjeta Débito,10
TKT-7337,2025-01-13,C030,V005,P005,1,15000,Transferencia,10
TKT-6112,2025-01-13,C007,V003,P003,1,98000,Efectivo,16
TKT-7935,2025-01-13,C015,V004,P003,1,98000,Transferencia,15
TKT-7242,2025-01-13,C029,V006,P003,2,196000,Tarjeta Crédito,18
TKT-7374,2025-01-13,C014,V002,P010,1,28000,Efectivo,12
TKT-5566,2025-01-14,C029,V005,P012,4,32000,Transferencia,7
TKT-5659,2025-01-14,C016,V001,P005,1,15000,Tarjeta Crédito,16
TKT-5130,2025-01-14,C018,V001,P003,2,196000,Efectivo,17
TKT-7388,2025-01-14,C014,V001,P011,4,48000,Transferencia,14
TKT-6020,2025-01-14,C008,V006,P012,1,8000,Transferencia,17
TKT-6221,2025-01-14,C014,V002,P001,2,130000,Transferencia,12
TKT-6338,2025-01-14,C014,V003,P001,2,130000,Tarjeta Débito,13
TKT-5292,2025-01-14,C030,V003,P005,2,30000,Transferencia,11
TKT-5421,2025-01-14,C020,V004,P008,1,6000,Transferencia,4
TKT-5343,2025-01-15,C007,V003,P001,1,65000,Tarjeta Crédito,7
TKT-5789,2025-01-15,C018,V003,P005,2,30000,Tarjeta Débito,5
TKT-5076,2025-01-15,C030,V004,P006,2,33000,Transferencia,15
TKT-7927,2025-01-15,C025,V002,P011,3,36000,Tarjeta Débito,10
TKT-5967,2025-01-15,C026,V006,P003,2,196000,Transferencia,13
TKT-7744,2025-01-15,C002,V003,P004,1,18500,Efectivo,19
TKT-5655,2025-01-15,C009,V001,P011,3,36000,Tarjeta Crédito,9
TKT-7410,2025-01-16,C014,V004,P012,5,40000,Efectivo,11
TKT-5609,2025-01-16,C025,V003,P003,2,196000,Efectivo,17
TKT-7001,2025-01-16,C007,V004,P011,3,36000,Tarjeta Débito,9
TKT-5861,2025-01-16,C015,V002,P005,1,15000,Tarjeta Débito,7
TKT-5711,2025-01-16,C005,V003,P012,2,16000,Tarjeta Crédito,10
TKT-7479,2025-01-16,C014,V003,P012,5,40000,Tarjeta Crédito,8
TKT-7211,2025-01-16,C005,V005,P011,3,36000,Tarjeta Débito,19
TKT-5959,2025-01-17,C002,V005,P008,2,12000,Transferencia,17
TKT-6300,2025-01-17,C016,V005,P002,1,58000,Efectivo,15
TKT-6055,2025-01-17,C010,V001,P010,1,28000,Transferencia,18
TKT-7222,2025-01-18,C002,V001,P001,2,130000,Tarjeta Débito,17
TKT-7716,2025-01-18,C007,V004,P002,2,116000,Transferencia,8
TKT-5093,2025-01-18,C029,V003,P011,3,36000,Transferencia,18
TKT-7969,2025-01-18,C029,V001,P005,1,15000,Transferencia,13
TKT-7074,2025-01-18,C017,V001,P004,1,18500,Transferencia,17
TKT-7966,2025-01-18,C004,V006,P012,4,32000,Tarjeta Débito,18
TKT-6789,2025-01-18,C001,V004,P001,1,65000,Tarjeta Crédito,10
TKT-6483,2025-01-18,C014,V001,P001,2,130000,Transferencia,7
TKT-6660,2025-01-18,C030,V004,P004,2,37000,Efectivo,9
TKT-6467,2025-01-18,C017,V003,P003,2,196000,Efectivo,11
TKT-5875,2025-01-18,C002,V006,P010,4,112000,Tarjeta Débito,17
TKT-6890,2025-01-18,C027,V004,P006,2,33000,Tarjeta Débito,18
TKT-5492,2025-01-19,C017,V005,P008,1,6000,Tarjeta Crédito,0
TKT-7205,2025-01-19,C013,V002,P011,2,24000,Transferencia,13
TKT-6109,2025-01-19,C015,V006,P011,5,60000,Tarjeta Débito,11
TKT-7260,2025-01-19,C011,V005,P009,4,60000,Transferencia,9
TKT-5094,2025-01-19,C026,V005,P008,1,6000,Transferencia,7
TKT-7466,2025-01-19,C023,V002,P011,1,12000,Transferencia,10
TKT-7050,2025-01-19,C021,V005,P006,2,33000,Transferencia,19
TKT-7168,2025-01-20,C014,V004,P004,1,18500,Tarjeta Débito,10
TKT-6402,2025-01-20,C027,V003,P012,4,32000,Efectivo,13
TKT-5121,2025-01-20,C016,V006,P008,2,12000,Tarjeta Débito,16
TKT-7347,2025-01-20,C009,V004,P011,5,60000,Tarjeta Crédito,10
TKT-5863,2025-01-21,C015,V005,P001,2,130000,Transferencia,20
TKT-7303,2025-01-21,C029,V003,P011,2,24000,Transferencia,20
TKT-6051,2025-01-21,C003,V006,P011,1,12000,Tarjeta Débito,9
TKT-6075,2025-01-22,C002,V006,P002,1,58000,Tarjeta Crédito,12
TKT-7404,2025-01-22,C021,V002,P004,2,37000,Transferencia,10
TKT-6939,2025-01-22,C016,V004,P007,2,27000,Transferencia,10
TKT-6343,2025-01-22,C029,V004,P008,1,6000,Transferencia,5
TKT-5632,2025-01-22,C019,V001,P002,2,116000,Efectivo,15
TKT-7573,2025-01-22,C022,V004,P009,4,60000,Transferencia,13
TKT-6860,2025-01-22,C002,V005,P005,2,30000,Efectivo,6
TKT-6414,2025-01-22,C006,V006,P007,2,27000,Efectivo,9
TKT-6555,2025-01-22,C001,V006,P004,2,37000,Transferencia,19
TKT-7536,2025-01-22,C021,V001,P008,1,6000,Tarjeta Débito,9
TKT-7441,2025-01-22,C001,V003,P002,1,58000,Tarjeta Débito,8
TKT-6816,2025-01-22,C011,V005,P012,5,40000,Efectivo,12
TKT-7637,2025-01-23,C023,V003,P008,1,6000,Tarjeta Crédito,21
TKT-7481,2025-01-23,C016,V003,P011,2,24000,Efectivo,9
TKT-7165,2025-01-23,C018,V006,P005,1,15000,Tarjeta Débito,16
TKT-7178,2025-01-23,C008,V002,P002,1,58000,Transferencia,17
TKT-7880,2025-01-23,C016,V002,P002,2,116000,Efectivo,9
TKT-7745,2025-01-23,C004,V003,P005,2,30000,Transferencia,16
TKT-5987,2025-01-23,C004,V005,P007,2,27000,Transferencia,10
TKT-5490,2025-01-24,C028,V006,P012,1,8000,Transferencia,15
TKT-6395,2025-01-24,C003,V001,P002,1,58000,Tarjeta Débito,15
TKT-6765,2025-01-24,C001,V005,P008,2,12000,Transferencia,13
TKT-7532,2025-01-24,C015,V002,P005,2,30000,Tarjeta Débito,7
TKT-5378,2025-01-24,C007,V002,P009,3,45000,Tarjeta Débito,18
TKT-7769,2025-01-24,C025,V005,P007,1,13500,Tarjeta Débito,10
TKT-5726,2025-01-25,C019,V003,P006,2,33000,Tarjeta Débito,8
TKT-7799,2025-01-25,C001,V004,P007,2,27000,Transferencia,6
TKT-6693,2025-01-25,C007,V002,P009,2,30000,Transferencia,14
TKT-7293,2025-01-26,C019,V002,P001,2,130000,Efectivo,16
TKT-6432,2025-01-26,C017,V001,P001,1,65000,Tarjeta Crédito,2
TKT-5606,2025-01-26,C008,V004,P005,1,15000,Efectivo,13
TKT-5843,2025-01-26,C027,V004,P011,4,48000,Transferencia,9
TKT-5079,2025-01-26,C021,V004,P003,2,196000,Efectivo,15
TKT-7278,2025-01-26,C024,V006,P001,2,130000,Tarjeta Débito,8
TKT-6052,2025-01-26,C022,V002,P010,1,28000,Efectivo,16
TKT-6296,2025-01-26,C002,V003,P008,1,6000,Tarjeta Crédito,11
TKT-7895,2025-01-26,C005,V001,P006,1,16500,Tarjeta Crédito,19
TKT-6164,2025-01-27,C003,V006,P007,1,13500,Tarjeta Crédito,8
TKT-6086,2025-01-27,C028,V005,P010,3,84000,Efectivo,10
TKT-5917,2025-01-27,C002,V001,P007,2,27000,Transferencia,7
TKT-6995,2025-01-27,C030,V002,P005,2,30000,Tarjeta Crédito,19
TKT-5713,2025-01-27,C022,V001,P012,1,8000,Transferencia,18
TKT-6704,2025-01-27,C003,V003,P001,2,130000,Tarjeta Débito,9
TKT-5830,2025-01-27,C005,V001,P004,2,37000,Tarjeta Débito,15
TKT-7743,2025-01-28,C026,V002,P006,1,16500,Tarjeta Crédito,17
TKT-7672,2025-01-28,C010,V004,P011,4,48000,Transferencia,14
TKT-7869,2025-01-28,C022,V006,P008,1,6000,Transferencia,13
TKT-5281,2025-01-28,C027,V004,P001,1,65000,Transferencia,9
TKT-5942,2025-01-28,C030,V004,P009,3,45000,Transferencia,7
TKT-5886,2025-01-28,C004,V004,P007,2,27000,Transferencia,18
TKT-5392,2025-01-28,C007,V001,P004,2,37000,Transferencia,19
TKT-6213,2025-01-29,C022,V001,P004,1,18500,Efectivo,15
TKT-6022,2025-01-29,C025,V006,P011,5,60000,Tarjeta Débito,10
TKT-5580,2025-01-29,C006,V002,P011,2,24000,Transferencia,10
TKT-6070,2025-01-29,C028,V006,P012,3,24000,Tarjeta Crédito,16
TKT-7155,2025-01-29,C011,V002,P001,1,65000,Efectivo,18
TKT-6962,2025-01-29,C020,V002,P003,1,98000,Tarjeta Débito,18
TKT-6195,2025-01-29,C005,V003,P006,2,33000,Efectivo,17
TKT-7545,2025-01-29,C029,V003,P009,3,45000,Efectivo,15
TKT-7823,2025-01-30,C013,V003,P012,1,8000,Efectivo,7
TKT-6477,2025-01-30,C029,V005,P002,1,58000,Tarjeta Crédito,8
TKT-7317,2025-01-30,C006,V003,P007,1,13500,Efectivo,18
TKT-5266,2025-01-30,C018,V003,P001,2,130000,Transferencia,15
TKT-5876,2025-01-30,C004,V001,P011,3,36000,Tarjeta Débito,0
TKT-7434,2025-01-30,C008,V004,P003,1,98000,Transferencia,7
TKT-6579,2025-01-30,C028,V002,P002,2,116000,Tarjeta Débito,16
TKT-7865,2025-01-30,C019,V002,P003,2,196000,Transferencia,0
TKT-6756,2025-01-30,C014,V002,P011,1,12000,Transferencia,8
TKT-5199,2025-01-30,C005,V001,P001,1,65000,Tarjeta Débito,13
TKT-6503,2025-01-31,C015,V003,P009,4,60000,Transferencia,16
TKT-5166,2025-01-31,C005,V004,P011,1,12000,Efectivo,15
TKT-7153,2025-01-31,C008,V001,P012,1,8000,Tarjeta Crédito,9
TKT-7118,2025-02-01,C023,V002,P003,1,98000,Tarjeta Débito,16
TKT-6761,2025-02-01,C018,V004,P008,2,12000,Transferencia,9
TKT-6807,2025-02-01,C015,V002,P010,1,28000,Tarjeta Débito,10
TKT-5599,2025-02-01,C025,V005,P001,1,65000,Tarjeta Crédito,17
TKT-5325,2025-02-02,C003,V006,P002,1,58000,Tarjeta Débito,15
TKT-6461,2025-02-02,C018,V003,P010,1,28000,Tarjeta Débito,18
TKT-5373,2025-02-02,C016,V002,P001,2,130000,Efectivo,15
TKT-6417,2025-02-02,C011,V003,P009,1,15000,Efectivo,14
TKT-5664,2025-02-02,C012,V001,P006,2,33000,Tarjeta Débito,7
TKT-6943,2025-02-02,C002,V005,P008,2,12000,Efectivo,10
TKT-6600,2025-02-02,C022,V003,P006,2,33000,Tarjeta Débito,9
TKT-7226,2025-02-02,C015,V002,P010,3,84000,Tarjeta Débito,9
TKT-7485,2025-02-02,C016,V001,P002,1,58000,Transferencia,20
TKT-5095,2025-02-02,C009,V005,P009,2,30000,Tarjeta Débito,11
TKT-7962,2025-02-02,C004,V005,P009,5,75000,Efectivo,18
TKT-7133,2025-02-03,C002,V006,P003,2,196000,Tarjeta Crédito,15
TKT-5052,2025-02-03,C021,V005,P009,4,60000,Efectivo,17
TKT-7876,2025-02-03,C029,V003,P003,1,98000,Efectivo,13
TKT-5255,2025-02-03,C015,V001,P001,1,65000,Efectivo,14
TKT-5548,2025-02-03,C016,V003,P004,1,18500,Tarjeta Crédito,12
TKT-6080,2025-02-03,C022,V001,P006,2,33000,Tarjeta Crédito,8
TKT-7988,2025-02-04,C009,V006,P001,2,130000,Tarjeta Crédito,16
TKT-6531,2025-02-04,C028,V003,P004,2,37000,Transferencia,10
TKT-6314,2025-02-04,C028,V001,P007,2,27000,Tarjeta Crédito,3
TKT-6056,2025-02-04,C029,V003,P007,1,13500,Tarjeta Crédito,15
TKT-5523,2025-02-04,C022,V005,P009,1,15000,Tarjeta Crédito,8
TKT-7721,2025-02-04,C003,V001,P001,2,130000,Tarjeta Crédito,19
TKT-6045,2025-02-04,C015,V003,P008,1,6000,Efectivo,20
TKT-5303,2025-02-04,C015,V004,P004,1,18500,Transferencia,19
TKT-5990,2025-02-04,C004,V002,P005,2,30000,Tarjeta Crédito,11
TKT-5934,2025-02-04,C007,V001,P007,1,13500,Efectivo,2
TKT-7872,2025-02-04,C001,V002,P002,1,58000,Tarjeta Crédito,19
TKT-7749,2025-02-05,C020,V003,P005,2,30000,Transferencia,11
TKT-5267,2025-02-05,C017,V003,P009,4,60000,Tarjeta Crédito,20
TKT-5654,2025-02-05,C007,V002,P008,2,12000,Efectivo,20
TKT-6532,2025-02-05,C029,V006,P010,2,56000,Tarjeta Crédito,18
TKT-6409,2025-02-05,C010,V001,P010,1,28000,Tarjeta Crédito,10
TKT-5381,2025-02-05,C005,V006,P005,1,15000,Tarjeta Débito,11
TKT-5865,2025-02-05,C010,V006,P007,1,13500,Tarjeta Débito,18
TKT-6757,2025-02-06,C020,V002,P002,2,116000,Efectivo,10
TKT-6372,2025-02-06,C022,V005,P009,4,60000,Efectivo,8
TKT-5986,2025-02-06,C022,V006,P001,1,65000,Transferencia,14
TKT-6460,2025-02-07,C014,V005,P007,2,27000,Tarjeta Débito,19
TKT-7113,2025-02-07,C015,V006,P003,1,98000,Tarjeta Débito,16
TKT-6905,2025-02-07,C003,V001,P010,5,140000,Tarjeta Débito,14
TKT-7018,2025-02-07,C028,V003,P005,1,15000,Efectivo,7
TKT-6576,2025-02-07,C016,V006,P009,4,60000,Tarjeta Débito,15
TKT-7135,2025-02-08,C004,V002,P005,1,15000,Tarjeta Crédito,22
TKT-7376,2025-02-08,C005,V005,P004,1,18500,Transferencia,8
TKT-6548,2025-02-08,C013,V002,P004,2,37000,Transferencia,13
TKT-7943,2025-02-08,C026,V001,P008,1,6000,Transferencia,18
TKT-7957,2025-02-08,C011,V003,P009,1,15000,Transferencia,17
TKT-6754,2025-02-08,C016,V003,P012,2,16000,Tarjeta Débito,16
TKT-6960,2025-02-09,C004,V005,P011,4,48000,Tarjeta Débito,16
TKT-5283,2025-02-09,C013,V003,P008,2,12000,Tarjeta Débito,10
TKT-5471,2025-02-09,C019,V003,P005,1,15000,Transferencia,10
TKT-5793,2025-02-09,C021,V002,P011,4,48000,Efectivo,17
TKT-6726,2025-02-09,C023,V002,P001,1,65000,Tarjeta Crédito,17
TKT-7885,2025-02-09,C022,V002,P004,2,37000,Transferencia,18
TKT-7015,2025-02-09,C009,V005,P012,2,16000,Tarjeta Crédito,19
TKT-7781,2025-02-09,C030,V003,P002,1,58000,Tarjeta Crédito,13
TKT-5999,2025-02-09,C029,V006,P003,1,98000,Efectivo,13
TKT-5718,2025-02-10,C019,V002,P001,1,65000,Tarjeta Crédito,17
TKT-5252,2025-02-10,C009,V001,P007,1,13500,Efectivo,15
TKT-5484,2025-02-10,C021,V006,P005,1,15000,Tarjeta Débito,16
TKT-5603,2025-02-10,C001,V001,P002,2,116000,Tarjeta Crédito,17
TKT-6665,2025-02-10,C001,V006,P012,4,32000,Tarjeta Débito,18
TKT-6898,2025-02-10,C030,V006,P003,1,98000,Tarjeta Débito,10
TKT-6363,2025-02-10,C014,V005,P004,2,37000,Tarjeta Crédito,11
TKT-5671,2025-02-11,C028,V006,P006,2,33000,Tarjeta Débito,7
TKT-6218,2025-02-11,C027,V006,P005,2,30000,Transferencia,14
TKT-5733,2025-02-11,C019,V004,P012,3,24000,Efectivo,5
TKT-5146,2025-02-11,C025,V003,P004,1,18500,Transferencia,12
TKT-5068,2025-02-11,C023,V005,P007,2,27000,Tarjeta Débito,13
TKT-6602,2025-02-11,C003,V003,P003,2,196000,Tarjeta Crédito,10
TKT-5013,2025-02-11,C013,V005,P007,2,27000,Transferencia,14
TKT-6355,2025-02-11,C010,V003,P009,3,45000,Tarjeta Débito,5
TKT-6419,2025-02-12,C009,V002,P007,1,13500,Transferencia,5
TKT-7657,2025-02-12,C020,V006,P009,4,60000,Tarjeta Débito,18
TKT-5611,2025-02-12,C029,V001,P008,2,12000,Transferencia,10
TKT-6124,2025-02-13,C005,V005,P010,1,28000,Tarjeta Débito,8
TKT-7462,2025-02-13,C016,V003,P008,1,6000,Efectivo,13
TKT-7719,2025-02-13,C030,V005,P005,1,15000,Efectivo,17
TKT-5855,2025-02-13,C005,V001,P012,3,24000,Tarjeta Débito,9
TKT-5120,2025-02-14,C010,V004,P006,1,16500,Tarjeta Débito,15
TKT-6125,2025-02-14,C001,V002,P004,2,37000,Transferencia,7
TKT-6751,2025-02-14,C020,V004,P009,1,15000,Tarjeta Débito,6
TKT-5884,2025-02-14,C001,V006,P004,2,37000,Tarjeta Crédito,13
TKT-5804,2025-02-14,C029,V006,P001,2,130000,Efectivo,13
TKT-7336,2025-02-14,C001,V005,P005,1,15000,Transferencia,15
TKT-6542,2025-02-14,C018,V006,P012,2,16000,Tarjeta Crédito,16
TKT-5794,2025-02-14,C027,V006,P006,1,16500,Efectivo,20
TKT-7517,2025-02-14,C015,V004,P008,1,6000,Transferencia,13
TKT-5182,2025-02-14,C007,V003,P003,2,196000,Tarjeta Débito,10
TKT-5011,2025-02-14,C014,V005,P005,2,30000,Efectivo,17
TKT-5969,2025-02-14,C008,V004,P010,5,140000,Transferencia,9
TKT-7120,2025-02-14,C020,V004,P011,2,24000,Efectivo,11
TKT-6079,2025-02-15,C020,V003,P002,1,58000,Tarjeta Débito,7
TKT-7528,2025-02-15,C002,V001,P002,1,58000,Efectivo,4
TKT-7287,2025-02-15,C027,V004,P004,2,37000,Transferencia,20
TKT-7649,2025-02-15,C003,V001,P008,2,12000,Transferencia,18
TKT-5528,2025-02-15,C012,V001,P002,2,116000,Transferencia,16
TKT-6117,2025-02-15,C022,V003,P008,2,12000,Efectivo,11
TKT-7736,2025-02-15,C016,V006,P002,2,116000,Efectivo,8
TKT-7560,2025-02-15,C021,V004,P012,2,16000,Efectivo,8
TKT-5290,2025-02-15,C012,V002,P001,2,130000,Transferencia,9
TKT-6883,2025-02-15,C017,V003,P012,1,8000,Tarjeta Débito,13
TKT-7094,2025-02-16,C027,V003,P010,1,28000,Tarjeta Débito,16
TKT-7678,2025-02-16,C021,V003,P003,1,98000,Transferencia,16
TKT-5818,2025-02-16,C029,V005,P010,1,28000,Tarjeta Crédito,9
TKT-6335,2025-02-16,C012,V001,P007,1,13500,Tarjeta Débito,20
TKT-7689,2025-02-16,C012,V004,P004,2,37000,Efectivo,17
TKT-5350,2025-02-17,C029,V002,P012,1,8000,Efectivo,14
TKT-5214,2025-02-17,C009,V001,P001,2,130000,Tarjeta Crédito,15
TKT-7412,2025-02-17,C012,V003,P008,2,12000,Tarjeta Crédito,11
TKT-6260,2025-02-17,C020,V004,P012,5,40000,Efectivo,9
TKT-7212,2025-02-17,C010,V004,P008,1,6000,Tarjeta Débito,10
TKT-7679,2025-02-17,C017,V005,P003,2,196000,Tarjeta Débito,17
TKT-5149,2025-02-17,C011,V003,P010,1,28000,Efectivo,1
TKT-5046,2025-02-17,C019,V004,P012,2,16000,Tarjeta Débito,7
TKT-5196,2025-02-17,C024,V006,P009,5,75000,Tarjeta Crédito,6
TKT-7888,2025-02-17,C004,V001,P002,1,58000,Transferencia,6
TKT-7640,2025-02-18,C016,V006,P007,1,13500,Transferencia,18
TKT-5668,2025-02-18,C014,V004,P010,3,84000,Efectivo,16
TKT-5924,2025-02-18,C027,V004,P003,1,98000,Efectivo,12
TKT-7868,2025-02-18,C002,V004,P006,1,16500,Transferencia,7
TKT-6745,2025-02-18,C001,V002,P001,2,130000,Tarjeta Débito,12
TKT-5225,2025-02-18,C023,V006,P003,1,98000,Tarjeta Crédito,12
TKT-6270,2025-02-18,C026,V005,P008,2,12000,Tarjeta Crédito,8
TKT-7519,2025-02-18,C019,V006,P011,4,48000,Tarjeta Débito,11
TKT-5947,2025-02-18,C021,V001,P010,5,140000,Efectivo,11
TKT-5401,2025-02-19,C027,V001,P007,1,13500,Transferencia,15
TKT-5187,2025-02-19,C005,V003,P011,5,60000,Tarjeta Débito,15
TKT-5112,2025-02-19,C021,V005,P010,5,140000,Tarjeta Débito,6
TKT-7839,2025-02-19,C018,V001,P007,1,13500,Transferencia,11
TKT-6547,2025-02-19,C020,V006,P003,1,98000,Tarjeta Débito,15
TKT-6312,2025-02-19,C022,V001,P012,2,16000,Efectivo,13
TKT-7765,2025-02-19,C022,V005,P007,1,13500,Transferencia,18
TKT-5186,2025-02-20,C012,V005,P007,2,27000,Tarjeta Crédito,15
TKT-7945,2025-02-20,C006,V001,P011,5,60000,Efectivo,8
TKT-5604,2025-02-20,C023,V005,P005,1,15000,Tarjeta Crédito,7
TKT-6737,2025-02-20,C006,V006,P007,2,27000,Transferencia,15
TKT-5684,2025-02-20,C019,V001,P006,2,33000,Efectivo,4
TKT-6140,2025-02-20,C027,V005,P003,1,98000,Efectivo,14
TKT-6782,2025-02-20,C002,V001,P004,2,37000,Tarjeta Crédito,19
TKT-6127,2025-02-20,C029,V005,P009,3,45000,Tarjeta Débito,14
TKT-5846,2025-02-20,C012,V001,P009,1,15000,Efectivo,11
TKT-7385,2025-02-21,C010,V006,P006,2,33000,Efectivo,15
TKT-5210,2025-02-21,C026,V002,P006,1,16500,Efectivo,12
TKT-5997,2025-02-21,C002,V002,P001,2,130000,Tarjeta Crédito,13
TKT-6410,2025-02-21,C026,V004,P004,1,18500,Efectivo,19
